suburb_name,median_weekly_rent,median_monthly_mortgage
"ACACIA RIDGE",335,1517
"ALBION",410,1950
"ALDERLEY",390,2200
"ALGESTER",395,1750
"ANNERLEY",360,2000
"ANSTEAD",490,2383
"ARCHERFIELD",343,1517
"ASCOT",390,2400
"ASHGROVE",440,2600
"ASPLEY",415,2000
"AUCHENFLOWER",390,2167
"BALD HILLS",388,1733
"BALMORAL",450,2729
"BANKS CREEK",0,1679
"BANYO",410,2000
"BARDON",500,2817
"BELLBOWRIE",440,1950
"BELMONT",460,2167
"BOONDALL",415,1800
"BOWEN HILLS",390,1614
"BRACKEN RIDGE",410,1800
"BRIDGEMAN DOWNS",520,2500
"BRIGHTON",400,1993
"BRISBANE AIRPORT",0,0
"BRISBANE CITY",460,1942
"BROOKFIELD",400,2798
"BULIMBA",500,2800
"BULWER",225,0
"BURBANK",365,3102
"CALAMVALE",410,1733
"CAMP HILL",460,2600
"CANNON HILL",450,2396
"CARINA",440,2000
"CARINA HEIGHTS",403,1950
"CARINDALE",530,2400
"CARSELDINE",435,2000
"CHANDLER",368,3467
"CHAPEL HILL",555,2427
"CHELMER",490,3000
"CHERMSIDE",370,1690
"CHERMSIDE WEST",455,2058
"CHUWAR",350,1863
"CLAYFIELD",350,2000
"COOPERS PLAINS",369,1755
"COORPAROO",380,2047
"CORINDA",388,2200
"COWAN COWAN",208,900
"DARRA",350,1500
"DEAGON",350,1846
"DOOLANDELLA",360,1733
"DREWVALE",460,1993
"DURACK",350,1517
"DUTTON PARK",390,2368
"EAGLE FARM",450,0
"EAST BRISBANE",400,2167
"EIGHT MILE PLAINS",420,1803
"ELLEN GROVE",350,1491
"ENGLAND CREEK",0,1275
"ENOGGERA",368,2156
"ENOGGERA RESERVOIR",450,1270
"EVERTON PARK",420,1950
"FAIRFIELD",410,2100
"FERNY GROVE",400,2000
"FIG TREE POCKET",590,3033
"FITZGIBBON",385,1677
"FOREST LAKE",390,1690
"FORTITUDE VALLEY",400,1718
"GAYTHORNE",350,1842
"GEEBUNG",415,2000
"GORDON PARK",365,2204
"GRACEVILLE",495,2600
"GRANGE",460,2600
"GREENSLOPES",370,1974
"GUMDALE",585,2669
"HAMILTON",430,2167
"HAWTHORNE",430,2809
"HEATHWOOD",455,2167
"HEMMANT",430,2000
"HENDRA",550,2855
"HERSTON",400,2300
"HIGHGATE HILL",380,2376
"HOLLAND PARK",390,2300
"HOLLAND PARK WEST",390,2167
"INALA",250,1300
"INDOOROOPILLY",440,2058
"JAMBOREE HEIGHTS",420,1816
"JINDALEE",470,2092
"KALINGA",400,3033
"KANGAROO POINT",450,1950
"KARANA DOWNS",400,1800
"KARAWATHA",585,2600
"KEDRON",380,2200
"KELVIN GROVE",400,2000
"KENMORE",513,2200
"KENMORE HILLS",598,2694
"KEPERRA",400,1950
"KHOLO",323,2000
"KOORINGAL",0,1920
"KURABY",400,2100
"LAKE MANCHESTER",0,1050
"LARAPINTA",,
"LOTA",415,2167
"LUTWYCHE",395,1820
"LYTTON",,
"MACGREGOR",430,1950
"MACKENZIE",500,2192
"MANLY",403,2200
"MANLY WEST",430,2053
"MANSFIELD",430,2126
"MCDOWALL",470,2167
"MIDDLE PARK",450,1950
"MILTON",435,1950
"MITCHELTON",400,2167
"MOGGILL",460,2167
"MOOROOKA",360,2000
"MORETON BAY",,
"MORETON ISLAND",210,4333
"MORNINGSIDE",430,2132
"MOUNT COOT-THA",,
"MOUNT CROSBY",400,1800
"MOUNT GRAVATT",380,2001
"MOUNT GRAVATT EAST",400,2041
"MOUNT OMMANEY",540,2316
"MURARRIE",450,2167
"NATHAN",300,1950
"NEW FARM",405,2264
"NEWMARKET",383,2167
"NEWSTEAD",490,2000
"NORMAN PARK",450,2600
"NORTHGATE",360,2100
"NUDGEE",488,2167
"NUDGEE BEACH",455,2100
"NUNDAH",375,1733
"OXLEY",400,1993
"PADDINGTON",470,2708
"PALLARA",460,2100
"PARKINSON",450,1950
"PETRIE TERRACE",435,2665
"PINJARRA HILLS",490,2184
"PINKENBA",350,1500
"PORT OF BRISBANE",,
"PULLENVALE",685,3033
"RANSOME",455,2327
"RED HILL",430,2700
"RICHLANDS",370,1517
"RIVERHILLS",410,1820
"ROBERTSON",415,1950
"ROCHEDALE",600,2600
"ROCKLEA",335,1635
"RUNCORN",400,1600
"SALISBURY",400,2000
"SANDGATE",294,2167
